shelter_name,shelter_id,latitude,longitude,gen,bez,nuts,nuts2,bundesland
Frauenhaus Hartengrube,2284,53.861924849136,10.683346452091,Lübeck,Kreisfreie Stadt,DEF03,DEF,Schleswig-Holstein
Autonomes Frauenhaus Neumünster,2063,54.074247318196,9.984462815518,Neumünster,Kreisfreie Stadt,DEF04,DEF,Schleswig-Holstein
Frauenhaus Norderstedt,2303,53.7089898,9.9891914,Segeberg,Kreis,DEF0D,DEF,Schleswig-Holstein
Frauenhaus Pinneberg,2264,53.651379970069,9.789546578719,Pinneberg,Kreis,DEF09,DEF,Schleswig-Holstein
Autonomes Frauenhaus Kreis Plön,2034,54.232749761427,10.279783840293,Plön,Kreis,DEF0A,DEF,Schleswig-Holstein
Frauenhaus Rendsburg gGmbH,2191,54.308288610642,9.658791079076,Rendsburg-Eckernförde,Kreis,DEF0B,DEF,Schleswig-Holstein
Frauenhaus Schwarzenbek,2263,53.503650426025,10.483866451312,Herzogtum Lauenburg,Kreis,DEF06,DEF,Schleswig-Holstein
Autonomes Frauenhaus Wedel,2188,53.583195431882,9.709891071281,Pinneberg,Kreis,DEF09,DEF,Schleswig-Holstein
Schutzwohnungen Nordfriesland,2438,54.6156443,8.9676337,Nordfriesland,Kreis,DEF07,DEF,Schleswig-Holstein
Frauenschutzwohnung Altenburg,2276,50.9888921,12.429075,Altenburger Land,Landkreis,DEG0M,DEG,Thüringen
Frauenschutz Weimarer Land,2062,51.020381404684,11.4986504232,Weimarer Land,Landkreis,DEG0G,DEG,Thüringen
Frauenschutzwohnung,2242,51.11064946722,10.643128194246,Unstrut-Hainich-Kreis,Landkreis,DEG09,DEG,Thüringen
Frauenhaus Eisenach,2105,50.990688888944,10.304182716389,Eisenach,Kreisfreie Stadt,DEG0N,DEG,Thüringen
Frauenhaus Erfurt,2149,50.97579155,11.020273533775,Erfurt,Kreisfreie Stadt,DEG01,DEG,Thüringen
Frauenhaus Gotha,2026,50.943234424969,10.717486357956,Gotha,Landkreis,DEG0C,DEG,Thüringen
Jenaer Frauenhaus e.V.,2272,50.9463598,11.5977589,Jena,Kreisfreie Stadt,DEG03,DEG,Thüringen
Frauenhaus Meiningen,2057,50.565930470512,10.408470644478,Schmalkalden-Meiningen,Landkreis,DEG0B,DEG,Thüringen
Frauenhaus Sondershausen,2038,51.3700633,10.8491714,Kyffhäuserkreis,Landkreis,DEG0A,DEG,Thüringen
Frauenhaus Weimar,2292,50.982827330819,11.322555165749,Weimar,Kreisfreie Stadt,DEG05,DEG,Thüringen
DRK KV Eichsfeld e.V. Frauenschutzwohnung Leinefelde,2282,51.425144533056,10.35842107336,Eichsfeld,Landkreis,DEG06,DEG,Thüringen
Frauenhaus Gera,2421,50.8772301,12.0796208,Gera,Kreisfreie Stadt,DEG02,DEG,Thüringen
Frauenhaus Ansbach,2213,49.298815058048,10.573480723219,Ansbach,Kreisfreie Stadt,DE251,DE2,Bayern
Frauen- und Kinderschutzhaus Bay. Untermain,2120,49.977036120801,9.145832480125,Aschaffenburg,Kreisfreie Stadt,DE261,DE2,Bayern
Frauenhaus Augsburg,2243,48.3668041,10.8986971,Augsburg,Kreisfreie Stadt,DE271,DE2,Bayern
Frauenhaus,2192,49.9006357,10.8997336,Bamberg,Kreisfreie Stadt,DE241,DE2,Bayern
