shelter_name,shelter_id,latitude,longitude,timestamp,description,status,gen,bez,bundesland,einrichtungsart,Gehbehinderung,Hörbehinderung/Taubheit,Sehbehinderung/Blindheit,Suchtmittelabhängigkeit
Frauenhaus Hildesheim e.V.,2194,52.152522919656,9.950775478638,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Hildesheim,Landkreis,Niedersachsen,Frauenhaus,True,False,False,False
Frauennotruf Hochfranken,2135,50.318924920653,11.923855529507,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Hof,Kreisfreie Stadt,Bayern,Schutzwohnung,False,False,False,False
AWO Frauenhaus Iserlohn,2232,51.383210093974,7.684256826022,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Märkischer Kreis,Kreis,Nordrhein-Westfalen,Frauenhaus,False,False,False,False
Autonomes Frauenhaus Itzehoe,2193,53.9242344,9.5100452,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Steinburg,Kreis,Schleswig-Holstein,Frauenhaus,True,True,True,False
Frauenhaus,2341,49.0068705,8.4034195,2022-12-25 08:01:00,k.A.,keine Angabe,Karlsruhe,Stadtkreis,Baden-Württemberg,Frauenhaus,False,False,False,False
Frauenhaus SkF Karlsruhe,2212,49.010942043401,8.392288331104,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Karlsruhe,Stadtkreis,Baden-Württemberg,Frauenhaus,False,False,False,False
Frauenhaus Kirchheim,2173,48.645195802054,9.452899259968,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Esslingen,Landkreis,Baden-Württemberg,Frauenhaus,True,False,False,False
Frauenhaus Donnersbergkreis,2221,49.6669591,7.9801167,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Donnersbergkreis,Landkreis,Rheinland-Pfalz,Frauenhaus,False,False,False,False
AWO-Frauenhaus,2311,51.789621872871,6.145853870316,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Kleve,Kreis,Nordrhein-Westfalen,Frauenhaus,False,False,False,False
Frauenhaus Landau,2332,49.19988782812,8.113401055813,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Landau in der Pfalz,Kreisfreie Stadt,Rheinland-Pfalz,Frauenhaus,False,False,False,False
