shelter_name,Aufnahme möglich,keine Angabe,keine Aufnahme möglich,bundesland,kreis
Frauenhaus Speyer,0.09315068493150686,0.0,0.9068493150684932,Rheinland-Pfalz,Kreisfreie Stadt Speyer
Frauenhaus Stormarn,0.16164383561643836,0.043835616438356165,0.7917808219178082,Schleswig-Holstein,Kreis Stormarn
Frauenhaus Telgte,0.1095890410958904,0.0,0.8904109589041096,Nordrhein-Westfalen,Kreis Warendorf
Frauenhaus Ulm,0.0821917808219178,0.14794520547945206,0.7698630136986301,Baden-Württemberg,Stadtkreis Ulm
Frauenhaus Unna,0.021917808219178082,0.0,0.9780821917808219,Nordrhein-Westfalen,Kreis Unna
Frauenhaus Warendorf,0.07945205479452055,0.0,0.9205479452054794,Nordrhein-Westfalen,Kreis Warendorf
Frauenhaus Weiden,0.42191780821917807,0.0,0.5780821917808219,Bayern,Kreisfreie Stadt Weiden i.d. OPf.
Frauenhaus Westerwald,0.06301369863013699,0.0,0.9068493150684932,Rheinland-Pfalz,Landkreis Westerwaldkreis
Frauenhaus Wetterau,0.1780821917808219,0.0,0.821917808219178,Hessen,Landkreis Wetteraukreis
Frauenhaus Wetzlar e.V.,0.09315068493150686,0.0,0.9068493150684932,Hessen,Landkreis Lahn-Dill-Kreis
Frauenhaus Worms,0.14520547945205478,0.0,0.8438356164383561,Rheinland-Pfalz,Kreisfreie Stadt Worms
Frauenhaus Zollernalbkreis,0.2958904109589041,0.0,0.7041095890410959,Baden-Württemberg,Landkreis Zollernalbkreis
Frauenhaus der Frauenhilfe München,0.3698630136986301,0.0,0.6301369863013698,Bayern,Kreisfreie Stadt München
Frauenhaus des Caritasverbandes für Stadt und Landkreis Gifhorn,0.736986301369863,0.0,0.26301369863013696,Niedersachsen,Landkreis Gifhorn
Frauenhaus des Rhein-Sieg-Kreises,0.10684931506849316,0.0,0.8931506849315068,Nordrhein-Westfalen,Kreis Rhein-Sieg-Kreis
Frauenhaus e.V. Solingen,0.07671232876712329,0.0,0.9232876712328767,Nordrhein-Westfalen,Kreis Mettmann
Frauenhaus für die Region Main-Rhön in Schweinfurt,0.0,0.0,1.0,Bayern,Kreisfreie Stadt Schweinfurt
Frauenhaus im Landkreis Kassel,0.01643835616438356,0.0,0.9835616438356164,Hessen,Landkreis Kassel
Frauenhaus und Beratungsstelle,0.0547945205479452,0.0,0.9452054794520548,Brandenburg,Landkreis Oder-Spree
"Frauenhaus, Beratungs- und Interventionsstelle Limburg",0.1178082191780822,0.0,0.8821917808219178,Hessen,Landkreis Limburg-Weilburg
Frauenschutz Weimarer Land,0.0,0.0,1.0,Thüringen,Landkreis Weimarer Land
Frauenschutzhaus,0.15342465753424658,0.0,0.8410958904109589,Mecklenburg-Vorpommern,Landkreis Nordwestmecklenburg
Frauenschutzhaus,0.19452054794520549,0.0,0.8054794520547945,Mecklenburg-Vorpommern,Landkreis Rostock
Frauenschutzhaus Freiberg,0.6410958904109589,0.0,0.3589041095890411,Sachsen,Landkreis Mittelsachsen
Frauenschutzhaus Helmstedt,0.7863013698630137,0.0,0.2136986301369863,Niedersachsen,Landkreis Helmstedt
Frauenschutzzentrum,0.18904109589041096,0.0,0.810958904109589,Nordrhein-Westfalen,Kreis Minden-Lübbecke
Frauenzuflucht Kaiserslautern,0.0,0.0,1.0,Rheinland-Pfalz,Kreisfreie Stadt Kaiserslautern
Haus für Frauen in Not,0.16986301369863013,0.0,0.8301369863013699,Hessen,Landkreis Rheingau-Taunus-Kreis
Haus für Frauen in Not Wiesbaden,0.04657534246575343,0.0,0.9534246575342465,Hessen,Kreisfreie Stadt Wiesbaden
Hilfe für Frauen in Not-Frauenhaus Bonn e.V.,0.07671232876712329,0.0,0.9232876712328767,Nordrhein-Westfalen,Kreisfreie Stadt Bonn
Internationales Frauenhaus,0.043835616438356165,0.0,0.9561643835616438,Nordrhein-Westfalen,Kreisfreie Stadt Düsseldorf
Jenaer Frauenhaus e.V.,0.0547945205479452,0.0,0.9452054794520548,Thüringen,Kreisfreie Stadt Jena
KARO e.V.,0.6219178082191781,0.0,0.3780821917808219,Sachsen,Landkreis Vogtlandkreis
Schutzhaus für Frauen und Kinder,0.2602739726027397,0.0,0.7397260273972602,Nordrhein-Westfalen,Kreis Euskirchen
Städtisches Frauenhaus Stuttgart,0.3561643835616438,0.13424657534246576,0.5095890410958904,Baden-Württemberg,Stadtkreis Stuttgart
Wolfsburger Frauenhaus,0.27671232876712326,0.0,0.7232876712328767,Niedersachsen,Kreisfreie Stadt Wolfsburg
