bundesland,monthyear,Aufnahme möglich,keine Angabe,keine Aufnahme möglich,n_shelters,n_analyzed
Thüringen,2022-06,0.24666666666666667,0.15333333333333332,0.6,12,5.0
Thüringen,2022-07,0.18064516129032257,0.11612903225806452,0.7032258064516129,12,5.0
Thüringen,2022-08,0.03225806451612903,0.0,0.967741935483871,12,5.0
Thüringen,2022-09,0.2,0.0,0.8,12,5.0
Thüringen,2022-10,0.15483870967741936,0.04516129032258064,0.8,12,5.0
Thüringen,2022-11,0.02,0.18,0.8,12,5.0
Thüringen,2022-12,0.17419354838709677,0.025806451612903226,0.8,12,5.0
Thüringen,2023-01,0.1935483870967742,0.0064516129032258064,0.8,12,5.0
Thüringen,2023-02,0.2,0.0,0.8,12,5.0
Thüringen,2023-03,0.16129032258064516,0.025806451612903226,0.8129032258064516,12,5.0
Thüringen,2023-04,0.0,0.2,0.8,12,5.0
Thüringen,2023-05,0.01935483870967742,0.05806451612903226,0.9225806451612903,12,5.0
Thüringen,2023-06,0.0,0.0,1.0,12,5.0
Berlin,0,0.0,0.0,0.0,12,0.0
Bremen,0,0.0,0.0,0.0,3,0.0
Hamburg,0,0.0,0.0,0.0,5,0.0
