shelter_name,shelter_id,bundesland,bez,gen,latitude,longitude,Aufnahme möglich für Frauen mit bis zu einem Kind,Aufnahme möglich für Frauen mit mehreren Kindern,Aufnahme möglich ohne detaillierte Angabe,Keine Aufnahme möglich,Platz für Frauen ohne Kinder,keine Angabe,einrichtungsart,Gehbehinderung,Hörbehinderung/Taubheit,Sehbehinderung/Blindheit,Suchtmittelabhängigkeit
Autonomes Frauenhaus Trier,2137,Rheinland-Pfalz,Kreisfreie Stadt,Trier,49.749992,6.6371433,0.06884681583476764,0.012908777969018933,0.0025817555938037868,0.7607573149741824,0.0,0.0,Frauenhaus,False,False,False,False
Autonomes Frauenhaus Tübingen,2012,Baden-Württemberg,Landkreis,Tübingen,48.52057725995,9.025027129822,0.0,0.07142857142857142,0.0,0.9182444061962134,0.010327022375215147,0.0,Frauenhaus,False,False,False,False
Autonomes Frauenhaus Wedel,2188,Schleswig-Holstein,Kreis,Pinneberg,53.583195431882,9.709891071281,0.0,0.0,0.0,0.9802065404475043,0.019793459552495698,0.0,Frauenhaus,False,False,False,False
BIG Hotline - Beratung und Vermittlung,2281,Berlin,Kreisfreie Stadt,Berlin,52.5170365,13.3888599,0.0,0.0,0.0,0.0,0.0,1.0,,False,False,False,False
Beratung für Frauen/Frauenschutzhaus Biberach,2360,Baden-Württemberg,Landkreis,Biberach,48.093565642996,9.786809486456,0.0,0.0,0.0,0.0,0.0,1.0,Frauenhaus,False,False,False,False
Beratungs- und Krisenzentrum für Frauen,2122,Brandenburg,Landkreis,Havelland,52.59248315,12.328108634457,0.0,0.0,0.0,0.0,0.0,1.0,Frauenhaus,False,False,False,False
Beratungsstelle für Betroffene von häuslicher Gewalt,2190,Mecklenburg-Vorpommern,Landkreis,Vorpommern-Rügen,54.4151606,13.425834,0.010327022375215147,0.0,0.0,0.9655765920826161,0.024096385542168676,0.0,Schutzwohnung,False,False,False,False
Caritas Frauenhaus Ingolstadt,2260,Bayern,Kreisfreie Stadt,Ingolstadt,48.7630165,11.4250395,0.0,0.0,0.00774526678141136,0.12306368330464716,0.0,0.8691910499139415,Frauenhaus,True,False,False,False
Caritas Frauenhaus Landshut,2218,Bayern,Kreisfreie Stadt,Landshut,48.538071270726,12.162603569431,0.0,0.0,0.0,1.0,0.0,0.0,Frauenhaus,False,False,False,False
Caritas-Frauenhaus,2098,Berlin,Kreisfreie Stadt,Berlin,52.559654245315,13.370605613927,0.0,0.0,0.0,0.0,0.0,1.0,Frauenhaus,False,False,False,False
DRK KV Eichsfeld e.V. Frauenschutzwohnung Leinefelde,2282,Thüringen,Landkreis,Eichsfeld,51.425144533056,10.35842107336,0.0,0.0,0.0,0.0,0.0,1.0,Schutzwohnung,False,False,False,False
DRk Frauenschutzhaus Burg,2307,Sachsen-Anhalt,Landkreis,Jerichower Land,52.269276139014,11.852119516482,0.0,0.0,0.1927710843373494,0.8072289156626506,0.0,0.0,Frauenhaus,False,False,False,False
Frauen - und Kinderschutzhaus,2339,Hessen,Landkreis,Darmstadt-Dieburg,49.893363,8.836827,0.0,0.02323580034423408,0.00774526678141136,0.9647160068846816,0.004302925989672977,0.0,Frauenhaus,True,False,False,False
Frauen - und Kinderschutzhaus Filder,2080,Baden-Württemberg,Landkreis,Esslingen,48.663256354141,9.219398527189,0.0017211703958691911,0.01549053356282272,0.0,0.9827882960413081,0.0,0.0,Frauenhaus,False,False,False,False
Frauen helfen Frauen Schwarzwald Baar e.V.,2262,Baden-Württemberg,Landkreis,Schwarzwald-Baar-Kreis,48.05923605,8.462281102255,0.0,0.0,0.0,0.0,0.0,1.0,Frauenhaus,False,False,False,False
Frauen helfen Frauen e.V.,2153,Nordrhein-Westfalen,Kreisfreie Stadt,Wuppertal,51.283777950273,7.143748029476,0.0017211703958691911,0.004302925989672977,0.006024096385542169,0.9707401032702238,0.01721170395869191,0.0,Frauenhaus,True,False,True,False
Frauen helfen Frauen e.V.,2275,Bayern,Landkreis,Bad Tölz-Wolfratshausen,47.915446386913,11.423220582099,0.027538726333907058,0.08777969018932874,0.031841652323580036,0.8382099827882961,0.013769363166953529,0.0,Frauenhaus,True,False,False,False
Frauen helfen Frauen e.V. Dinslaken,2145,Nordrhein-Westfalen,Kreis,Wesel,51.567639806596,6.747491084656,0.012908777969018933,0.00774526678141136,0.05249569707401033,0.9104991394148021,0.016351118760757316,0.0,Frauenhaus,False,False,False,False
Frauen helfen Frauen e.V. Heidelberg,2152,Baden-Württemberg,Stadtkreis,Heidelberg,49.38167105,8.677039550252,0.0,0.09036144578313253,0.0,0.8855421686746988,0.024096385542168676,0.0,Frauenhaus,False,False,False,False
Frauen in Not-Frauenhaus,2061,Mecklenburg-Vorpommern,Kreisfreie Stadt,Schwerin,53.627833083723,11.405380088953,0.0,0.0,0.0189328743545611,0.73407917383821,0.0,0.2469879518072289,Frauenhaus,True,True,True,False
"Frauen und Kinderschutzhaus Baden-Baden, Landkreis Rastatt",2432,Baden-Württemberg,Stadtkreis,Baden-Baden,48.766436,8.244599718105,0.0,0.06368330464716007,0.02323580034423408,0.6626506024096386,0.0,0.07917383820998279,Frauenhaus,False,False,False,False
Frauen- und Kinderhaus Offenbach,2077,Hessen,Kreisfreie Stadt,Offenbach am Main,50.104010086859,8.76674981179,0.0,0.039586919104991396,0.0,0.959552495697074,0.0008605851979345956,0.0,Frauenhaus,False,False,False,False
Frauen- und Kinderhaus Salzwedel,2251,Sachsen-Anhalt,Landkreis,Altmarkkreis Salzwedel,52.851333063238,11.154713708822,0.0,0.08950086058519793,0.2495697074010327,0.3528399311531842,0.0,0.3080895008605852,Frauenhaus,False,False,False,False
Frauen- und Kinderhaus e.V. Uelzen,2084,Niedersachsen,Landkreis,Uelzen,52.964904113123,10.562643359678,0.0,0.0,0.0,0.0,0.0,1.0,Frauenhaus,False,False,False,False
