bundesland,monthyear,Aufnahme möglich für Frauen mit bis zu einem Kind,Aufnahme möglich für Frauen mit mehreren Kindern,Aufnahme möglich ohne detaillierte Angabe,Keine Aufnahme möglich,Platz für Frauen ohne Kinder,keine Angabe,Gesamtzahl der Frauenhäuser,"Anzahl der Frauenhäuser, die wir analysieren könnten"
Niedersachsen,2022-11,0.014444444444444444,0.0,0.1,0.7666666666666667,0.11888888888888889,0.0,24,10
Niedersachsen,2022-12,0.0,0.02717391304347826,0.04891304347826087,0.8956521739130435,0.028260869565217388,0.0,24,10
Nordrhein-Westfalen,2022-01,0.012651461154668567,0.05719885958660015,0.08784746970776906,0.813791874554526,0.022451888809693517,0.0,62,62
Nordrhein-Westfalen,2022-02,0.02096774193548387,0.021774193548387097,0.05504032258064516,0.8747983870967742,0.026411290322580647,0.00020161290322580645,62,62
Nordrhein-Westfalen,2022-03,0.010634526763559022,0.03527118043247075,0.05955334987593052,0.8752215526409075,0.019319390287132223,0.0,62,62
Nordrhein-Westfalen,2022-04,0.005692599620493359,0.018975332068311195,0.02751423149905123,0.9358633776091082,0.011954459203036052,0.0,62,62
Nordrhein-Westfalen,2022-05,0.00913978494623656,0.023835125448028675,0.04247311827956989,0.9129032258064517,0.011648745519713262,0.0,62,62
Nordrhein-Westfalen,2022-06,0.0060721062618595825,0.011764705882352943,0.019165085388994307,0.9599620493358634,0.0030360531309297912,0.0,62,62
Nordrhein-Westfalen,2022-07,0.007187938288920056,0.02752454417952314,0.03348527349228612,0.921984572230014,0.009817671809256663,0.0,62,62
Nordrhein-Westfalen,2022-08,0.00478553704360156,0.018433179723502304,0.021269053527118043,0.945409429280397,0.010102800425381071,0.0,62,62
Nordrhein-Westfalen,2022-09,0.0038057267125770206,0.020478434215295396,0.021565784704603116,0.9392895976803189,0.01486045668720551,0.0,62,62
Nordrhein-Westfalen,2022-10,0.009018383628165106,0.030003468609087754,0.043877904960111,0.8987166146375303,0.018383628165105793,0.0,62,62
Nordrhein-Westfalen,2022-11,0.006451612903225806,0.027240143369175625,0.04910394265232974,0.910752688172043,0.0064516129032258064,0.0,62,62
Nordrhein-Westfalen,2022-12,0.009642356241234221,0.02664796633941094,0.05084151472650771,0.9074333800841514,0.005434782608695652,0.0,62,62
