shelter_name,monthyear,Aufnahme möglich,keine Angabe,keine Aufnahme möglich,bundesland,kreis
Frauenhaus Westerwald,2022-01,0.0,0.0,0.6451612903225806,Rheinland-Pfalz,Landkreis Westerwaldkreis
Frauenhaus Wetterau,2022-01,0.6129032258064516,0.0,0.3870967741935484,Hessen,Landkreis Wetteraukreis
Frauenhaus Wetzlar e.V.,2022-01,0.0,0.0,1.0,Hessen,Landkreis Lahn-Dill-Kreis
Frauenhaus Worms,2022-01,0.5161290322580645,0.0,0.3548387096774194,Rheinland-Pfalz,Kreisfreie Stadt Worms
Frauenhaus Zollernalbkreis,2022-01,0.7419354838709677,0.0,0.25806451612903225,Baden-Württemberg,Landkreis Zollernalbkreis
Frauenhaus der Frauenhilfe München,2022-01,0.8064516129032258,0.0,0.1935483870967742,Bayern,Kreisfreie Stadt München
Frauenhaus des Caritasverbandes für Stadt und Landkreis Gifhorn,2022-01,1.0,0.0,0.0,Niedersachsen,Landkreis Gifhorn
Frauenhaus des Rhein-Sieg-Kreises,2022-01,0.1935483870967742,0.0,0.8064516129032258,Nordrhein-Westfalen,Kreis Rhein-Sieg-Kreis
Frauenhaus e.V. Solingen,2022-01,0.0,0.0,1.0,Nordrhein-Westfalen,Kreis Mettmann
Frauenhaus für die Region Main-Rhön in Schweinfurt,2022-01,0.0,0.0,1.0,Bayern,Kreisfreie Stadt Schweinfurt
Frauenhaus im Landkreis Kassel,2022-01,0.0,0.0,1.0,Hessen,Landkreis Kassel
Frauenhaus und Beratungsstelle,2022-01,0.6451612903225806,0.0,0.3548387096774194,Brandenburg,Landkreis Oder-Spree
"Frauenhaus, Beratungs- und Interventionsstelle Limburg",2022-01,0.8064516129032258,0.0,0.1935483870967742,Hessen,Landkreis Limburg-Weilburg
Frauenschutz Weimarer Land,2022-01,0.0,0.0,1.0,Thüringen,Landkreis Weimarer Land
Frauenschutzhaus,2022-01,0.0,0.0,1.0,Mecklenburg-Vorpommern,Landkreis Rostock
Frauenschutzhaus Freiberg,2022-01,1.0,0.0,0.0,Sachsen,Landkreis Mittelsachsen
Frauenschutzhaus Helmstedt,2022-01,0.5806451612903226,0.0,0.41935483870967744,Niedersachsen,Landkreis Helmstedt
Frauenschutzzentrum,2022-01,0.8709677419354839,0.0,0.12903225806451613,Nordrhein-Westfalen,Kreis Minden-Lübbecke
Frauenzuflucht Kaiserslautern,2022-01,0.0,0.0,1.0,Rheinland-Pfalz,Kreisfreie Stadt Kaiserslautern
Haus für Frauen in Not,2022-01,0.03225806451612903,0.0,0.967741935483871,Hessen,Landkreis Rheingau-Taunus-Kreis
Haus für Frauen in Not Wiesbaden,2022-01,0.22580645161290322,0.0,0.7741935483870968,Hessen,Kreisfreie Stadt Wiesbaden
Hilfe für Frauen in Not-Frauenhaus Bonn e.V.,2022-01,0.03225806451612903,0.0,0.967741935483871,Nordrhein-Westfalen,Kreisfreie Stadt Bonn
Internationales Frauenhaus,2022-01,0.03225806451612903,0.0,0.967741935483871,Nordrhein-Westfalen,Kreisfreie Stadt Düsseldorf
Jenaer Frauenhaus e.V.,2022-01,0.6451612903225806,0.0,0.3548387096774194,Thüringen,Kreisfreie Stadt Jena
KARO e.V.,2022-01,1.0,0.0,0.0,Sachsen,Landkreis Vogtlandkreis
Schutzhaus für Frauen und Kinder,2022-01,0.03225806451612903,0.0,0.967741935483871,Nordrhein-Westfalen,Kreis Euskirchen
Städtisches Frauenhaus Stuttgart,2022-01,0.6451612903225806,0.0,0.3548387096774194,Baden-Württemberg,Stadtkreis Stuttgart
Wolfsburger Frauenhaus,2022-01,0.22580645161290322,0.0,0.7741935483870968,Niedersachsen,Kreisfreie Stadt Wolfsburg
1. Autonomes Frauenhaus,2022-02,1.0,0.0,0.0,Sachsen,Kreisfreie Stadt Leipzig
1. Frauenhaus Köln,2022-02,0.03571428571428571,0.0,0.9642857142857143,Nordrhein-Westfalen,Kreisfreie Stadt Köln
2. Autonomes Frauenhaus Köln,2022-02,0.0,0.0,1.0,Nordrhein-Westfalen,Kreisfreie Stadt Köln
